text_clean,sentiment,sentiment_
bisaaa kemarin nyantumin sk organisasi dokumentasi giat abdi masyarakat cek sehat alhamdulillah lolos,15.384615384615383,1
bisaaa kemarin naruh sk organisasi dokumentasi giat abdi masyarakat cek sehat alhamdulillah lolos,15.384615384615383,1
bisaaa kemarin pakai sk organisasi sertifikat mitra tim cek sehat kkn cantumin dokum abdi masyarakat alhamdulillah lolos,5.882352941176471,1
alam ajar sertifikat organisasi ngomong ngomong nyantumin dokumentasi abdi masyarakat alhamdulillah lolos,0.0,0
dapet rangin bbh kasih beasiswa dapet bbh beasiswa k kemdikbud dapet sisa k,0.0,0
maa kampus ku,0.0,0
hilang daftat giat akun mahasiswa dosen kampus ajar,0.0,0
izin nomor semester pengaruh,25.0,1
font surat rekomendasi times new roman terimakasih,14.285714285714286,1
numpang piagam diupnya yaa sptjm rekomendasi surat sehat surat aktif kuliah diup mohon arah,14.285714285714286,1
surat terang sehat bikin syarat mohon,33.333333333333336,1
kabar undur daftar,0.0,0
arnii,0.0,0
kisnya hilang isi milik poin e,-16.666666666666668,-1
sifaaa izin kis hilang isi milik poin e,-12.5,-1
coba bahas telegram yuks,0.0,0
semangat salam kampus ajar angkat,20.0,1
mohon maaf izin daftar lupa unggah cv ktp syaa unggah alhamdulillah resiko terima kasih,0.0,0
transkip ipk semester,0.0,0
coret,0.0,0
niaa wing dk coret sptjm sing milik asurasi sehat,11.11111111111111,1
video upload kadung upload situs,0.0,0
syarat dpl,0.0,0
tau syarat aplod daftar nda isi aplod syarat,0.0,0
telegram nama,0.0,0
aploud peryaratannya,0.0,0
izin cv alam masuk alam lomba tulis cerpen menang masuk alam webinar kah,7.6923076923076925,1
ingpo kawan,0.0,0
ingpo ingpo,0.0,0
tanda tangan belah kiri,-25.0,-1
halo tulis pandu poin tulis jenisnama beasiswa tulis nominal bantu hidup hapus kah terima beasiswa,6.666666666666667,1
terimakasih bang,0.0,0
wajib,-100.0,-1
naung kemendikbud program kampus merdeka,20.0,1
amiinn semangat,50.0,1
kip k lanjur tulis bbh semester yaa,0.0,0
transkrip nilai wajib tanda tangan kaprodi,16.666666666666668,1
semester situs kampus pas daftar situs kampus,0.0,0
proses verifikasi data kaka selesai verivikasi siyrat kaka taut,0.0,0
e sptjm coret,0.0,0
fitriyah iyaa bener upload,0.0,0
daftar moga lulus amiin,0.0,0
daftar beasiswa cair,0.0,0
oke terimakasih,0.0,0
surat izin orang tua surat pakta integritas penguplod,0.0,0
tmn tau bantu semester data akademik tulis semester yaa beda,0.0,0
gantiganti file mendafar,0.0,0
pengaruh seleksi verifikasi,33.333333333333336,1
dwinnda skip,0.0,0
beasiswa kemendikbud bbh full beasiswa kemendikbud dapet full,0.0,0
mas ka transkip yh semester transkip trakhir semester yh,11.11111111111111,1
ni nad,0.0,0
baca telegram bpjs aktif tidak-apa-apa lampir daftar,0.0,0
bpjs aktif tau tau daftar cmiiw yaa,0.0,0
sifaaa bpjs aktif premi daftar,20.0,1
transkrip nilai wajib capstempel,0.0,0
iya ka video mimin bilang bingun,0.0,0
beda hapus terima langsung terima beasiswa,16.666666666666668,1
moga lulu kampus ajar aamiin,0.0,0
sertifikat organisasi beda sma surat alam organisasi,0.0,0
sifaaa,0.0,0
poin sptjm terima beasiswa coret,20.0,1
uin,0.0,0
upload cv laman mbkm,0.0,0
andriani haloo tanda tangan materai tanda tangan materai,12.5,1
pilih milik milik arti coret milik,0.0,0
iya ngisinya semester diinput file,0.0,0
tau dokumen isi yah,0.0,0
minnn mohon lanjur daftar poin langsung tulis terima beasiswa bi ukt,9.090909090909092,1
perhati,0.0,0
mahasiswa daftar program tukar mahasiswa daftar program kampus ajar,0.0,0
keri kontene ws kadung daftarno hmmmm,0.0,0
ih,0.0,0
asuransi sehat upa kis,25.0,1
bikin terang nominal beasiswa cantumin semester terang tulis semester,11.11111111111111,1
diaha,0.0,0
bbh semester,0.0,0
bbh semester,0.0,0
eeee nih,0.0,0
sptjm beda share pertamabukan bintang terang pakai footnote pas daftar post tutorial,8.333333333333334,1
video d ahir sesi daftar,0.0,0
terimakasih,0.0,0
terima kasih,100.0,1
aamiin alloh moga lolos,0.0,0
okee terimakasih,0.0,0
doa bu,0.0,0
yahhh selesai daftar lolos,0.0,0
aamiin moga maklum panitia,0.0,0
oiya,0.0,0
sewa zoom yuk start k,0.0,0
mending telegram,0.0,0
e,0.0,0
telegram,0.0,0
surat tanda organisasi,33.333333333333336,1
coba gabung telegram,0.0,0
klinik terang surat surat waspada sehat,33.333333333333336,1
sesuai domisili domisili luas kabupaten coba grup telegram,25.0,1
coret salah,-50.0,-1
tulis tulis buku,0.0,0
arti asuransi sehat aktif bpjs asuransi salah aktif arti daftar,0.0,0
terimakasih informasi,0.0,0
yah,0.0,0
bisaa ulang kirim applaud sptjm salah coret salah,-25.0,-1
poin terima beasiswa coret hilang sata terima beasiswa ngefek,0.0,0
huhuhu,0.0,0
heriyanti video disebutin surat nyata bgian nomor coret hapus langsung filenya coret,0.0,0
kaya tidak-apa-apa si banget sesuai,22.22222222222222,1
dosen ku gapapaa mbaa,0.0,0
bikin ginian,0.0,0
tanggal kemarin surat terang sehat dokumen ready submit,37.5,1
azzhr okedeh,0.0,0
sertifikat prestasi kalok sertifikat akademik mohon arahanya,14.285714285714286,1
peluang lulus,0.0,0
maa tolong,0.0,0
sertifikat alam organisasi isi sertifikat panitia,0.0,0
klau nilai ipk transkrip sesuai laman kampus merdeka,37.5,1
hallo izin dokumen transkrip nilai terima kasih,42.85714285714285,1
less talk about investment am just here share good berita knowing that my investment is in safe hands got me excited made that possible with her excellent trading technique beginning this great journey i invested as capital and in few days i got return of her transparency tahan uji and diligence is undeniable good,7.407407407407407,1
sertifikat pas sekolah,0.0,0
sertifikat prestasi kuliah kah,25.0,1
upload dokumen transkip nilai semester daftar nilai,14.285714285714286,1
izin nama d ktp elis d bpjs binti,0.0,0
tulis nama ketik tulis tangan,0.0,0
pt gelondong arti sr mahasiswa ptfakultas,0.0,0
surat rekomendasi transkip nilai tanda tangan kaprodi,42.85714285714285,1
terimakasih cin,0.0,0
hallo sptjm tempel materail tanda tangan kah,14.285714285714286,1
insyaallah sesuai moga lolos allah amin,16.666666666666668,1
izin bertnya batas daftar tanggal yah,-16.666666666666668,-1
tanda tangan spjtm tinta biru lanjur hitam pengaruh tolong bantu,20.0,1
beasiswa tulis semester ri,0.0,0
hallo tolong buka dm ig ku terimakasih,0.0,0
me it,0.0,0
na,0.0,0
sertif prestasi,50.0,1
heriyanti temenku,0.0,0
semester,0.0,0
samaa format tera semester,0.0,0
upload tutor,0.0,0
maa,0.0,0
beasiswa terima cantum langsng semester perbulanapakah,16.666666666666668,1
terima beasiswa coret terima beasiswa habis titik kalimat,12.5,1
respon,0.0,0
nitipppp tdnya hp bingung upload,-20.0,-1
banget,0.0,0
ystwnz,0.0,0
sptjm sebenernya stempel prodi yaa bimbang template terang ttdstempel kemarin prodi kasih,8.333333333333334,1
iiihhh,0.0,0
sertifikat organisasi ganti foto giat organisasi,16.666666666666668,1
kakk bantu kipnya langsung tulis bulat bulat yaa lanjur buatt bulatnyaa semester,0.0,0
semester ka,0.0,0
iihhh samaaaa,0.0,0
dokumen butuh beda daftar pakai laptop hp laptop dokumen sptjm pakta integritas surat terang orang tua hp sptjm,5.555555555555555,1
ainiiii,0.0,0
ecek ipk laman kampus merdeka,20.0,1
beda error ato paham disubmit sih,-16.666666666666668,-1
ngf,0.0,0
hilang ditemplate,-50.0,-1
tanda tangan kaprodi stempel,25.0,1
iyaa tidk terima beasiswa kalimat terima beasiswa semester komponen bantu biaya hidup tinggal allowancela,0.0,0
milik asuransi sehat coret isi dokumensi upload pdf bpjs lulus,10.0,1
transkrip nilai ditandatangani dosen wali,20.0,1
bpjs coret ku hapus gima,0.0,0
point coret hapus selesai daftar,0.0,0
tolong maksud point nomor papar terang mahasiswa milik beasiswa tolong mahasiswa milik beasiswa,7.6923076923076925,1
samaa laman kampus merdeka beda banget ipk transkrip mohon bantu takutt,9.090909090909092,1
moga kis salah data,-25.0,-1
sptjm coret hapus salah,-25.0,-1
izin sptjm isi format terima beasiswa hapus nominal beasiswa terang terima beasiswa mohon,15.384615384615383,1
si terima beasiswa coret terima beasiswa,16.666666666666668,1
stpjmnya tanda tangan nama pribadi nama orang tua dosen kurung kurung hapus,8.333333333333334,1
ngf nitip,0.0,0
iya,0.0,0
angkat sesuai domisili yaa sisi domisil isi,14.285714285714286,1
iih beasiswa salah miin salah paham ku beasiswa,-12.5,-1
kartu sehat kis kalok tanggal lahir beda akte,12.5,1
mahasiswa beasiswa coret lanjur terima beasiswa,16.666666666666668,1
mohon solusi paham format,0.0,0
oke terimakasi,0.0,0
surat sehat expirednya yaa daftar kampus ajar minimal,12.5,1
ngisinya semester,0.0,0
terimakasih informasi,0.0,0
ipk ganti,0.0,0
dapet full,0.0,0
isi semester perbulanitu yah,0.0,0
sertifikat giat seminar kah,25.0,1
sr kolektif,0.0,0
surat sehat tanggal daftar tanggal,20.0,1
hallo izin surat sptjm nomor e coret,0.0,0
kuliah smpsma,0.0,0
sill materai asli digital tidak-apa-apa kiri kena materainya,0.0,0
izin alam mengajarprestasi,0.0,0
mohon respon,0.0,0
tunggu balas admin,0.0,0
format semester ira biaya semester,0.0,0
kayak tidak-apa-apa,0.0,0
tanggal,0.0,0
nitip mohon direspon,0.0,0
kakaku cantumin biaya brptahun,0.0,0
pie kih luurrt,0.0,0
izin sertifikat organisasi sertifikat tulis,0.0,0
dwinnda ngisinya isi kaya soale,20.0,1
terima beasiswa hapus coret,25.0,1
isi,0.0,0
dwinnda bantu opsional,0.0,0
aamiin,0.0,0
alhamdulillah terimakasih informasi,0.0,0
semangattttttt salam alumni,0.0,0
pakai meterai fisik tanda tangan kena meterai pakai meterai elektronik tanda tangan kena meterai,7.142857142857143,1
sptjm nomor e coret apaapa,0.0,0
filmohon responnya,0.0,0
soale kemarin sempet edit tulis tanda tangan matra hapus,11.11111111111111,1
bbh tulis semester aceh ira biaya semester isi nominal beasiswa sesuai semester,8.333333333333334,1
hallo izin transkip nilai wajib stempel,0.0,0
masyallah alhamdulillah prsyaratan dokumen sesuai video moga program kampus ajar angkat lolos unggah dokumen sterusnya aaminnn semnggat teman,5.555555555555555,1
sma bgitu,0.0,0
tanda tangan seba kiri materai,0.0,0
contoh dokumen,50.0,1
bukti alam organ ajar sertifikat prestasi,16.666666666666668,1
tanda tangan matra belah kanan lanjur salah,0.0,0
surat surat bikin tanggal upload tanggal tidak-apa-apa pengaruh seleksi administrasi,7.142857142857143,1
arti beasiswa mbkm dapet intensif kemendikbud,0.0,0
haallo miinn ipk sesuai ipk aju fakultas si takut,0.0,0
format resmi klinik yah surat terang sehat,28.571428571428573,1
surat terang sehat klinik kk,40.0,1
maaf syukur coba janji bbh masuk mimin gaji sabar hehe,20.0,1
catur hak ngapain positif thinking,40.0,1
astagfirullahkalo berfikir msib,0.0,0
ardl komennya,0.0,0
mantap,0.0,0
mohon deh langsung cairin denger termin cair apakabar banget deh curiga bau bau selesai magang oun uang ghaib masuk,-10.526315789473683,-1
cok termin apakabar,0.0,0
nebeng inap kosan tinggal sanggup ngelanjutin bayar temen temen rela pinjol penuh butuh ngerantau msib batch tolong cair bbh,0.0,0
ap ni komennya,0.0,0
l,0.0,0
gtg oppp,0.0,0
uang depo cok all in zeus,0.0,0
tolak ukur umur dewasa lahir manusia manusia masuk dewasa,11.11111111111111,1
mei nih bbh msib cair,0.0,0
aju,0.0,0
klarifikasiiiii woeee omong doang batt,0.0,0
mending magang mandiri dahhhh lapar,0.0,0
bbh woee,0.0,0
bacottt,0.0,0
minimal bbh sih,0.0,0
halooooo bbh kabar,0.0,0
fafa fatia fauziah nomor telepon si fafa maling suruh selesai urus kabur keluarga malu suruh si maling tanggung,-11.11111111111111,-1
cairin bbhnya,0.0,0
yaa duit abis,0.0,0
bbh yaallah ri gacair,0.0,0
bbh cair,0.0,0
bbh cair,0.0,0
bbh,0.0,0
wajib penuh kerja maksimal hak cair hilang motivasi kerja alam sih alam butuh hidup,0.0,0
bacot panitia bobrok bbh kasih mobilisasi kasih,0.0,0
haha gokil banget msib batch cairin bbh sulit,0.0,0
cuaks bikin program bom ngomongin mental blokkk urus tuh bbh mahasiswa pd sekarat makan,-7.142857142857143,-1
kpk tolong lihat isi komentar mahasiswa tuntut hak,12.5,1
banget ongkos,0.0,0
perintah panitia kampus merdeka hormat tunggu cair bbh magang batch pencariran omong doang lupa magang tolong dengar cepat cair batas butuh uang uang proses magang tolong dengar hormat,3.571428571428572,1
permisi bbh cair,-33.333333333333336,-1
alhamdulillah cair terima kasih,50.0,1
minimal bbh turun,0.0,0
bbh tolong,0.0,0
bbh turunin hehe,0.0,0
mogok kerja kah,0.0,0
postingan hati kayak ngomongin dewasa nih admin lihat luah kesah msib hak kunjung malu lihat kerja panitia msib sesuai janji dosen teman mahasiswa orangtua tau msib ngingkari janji syarat ulang kali program bangga cela tolong panitia baca butuh uang makan tinggal bayar minimal tepatin janji,8.88888888888889,1
admin kena mental aowkaoaakowao admin bocaaaaahhhh takut dbales,-12.5,-1
msib program merdeka mahasiswa program siksa mahasiswa,0.0,0
bbh qqh,0.0,0
tribe,0.0,0
deh ngapload feed skrang hate komen mulu mending desak panitia msib cairin bbh msk minggu mei cair termin,-5.555555555555555,-1
berita dapet mas,33.333333333333336,1
ayo teman teman wawas skill gabung latih seru banget,11.11111111111111,1
bbh tahap cair kemarin alur bbh tahap lpdp temu aju an mahasiswa terima beasiswa msib tindak mahasiswa kirim sptjm terang terima beasiswa mahasiswa terima bbh nyusul alur bbh tahap verifikasi ulang lpdp magang tahap verifikasi ulang surat dokumen proses makan minggu verifikasi ulang tahap aju kemarin an mahasiswa makan an mahasiswa koordinator program msib batch wahyu ari angkat bicara senin bbh cair minggu cair bbh minggu tanggal mei cair tahap milik wahyu magang isi lapor harianmingguan logbook plagiarisme arti lapor salin salin lapor teman magang fatal koordinator msib iv arti magang niat ajar magang cair termin hambat plagiarisme harap msib magang laku plagiarisme lapor mari karya tulis lapor giat magang seharihari,0.9009009009009008,1
iwantisu wkwkwk tunggu,0.0,0
mei cair main main gerak speak,0.0,0
kpk,0.0,0
gass,0.0,0
percaya suruh nunggu minggu hehe,20.0,1
berisik bbh cairin,-33.333333333333336,-1
ciee nasihatin selenggara,0.0,0
om,0.0,0
dewasa mki kah dek,25.0,1
postingan dewasa panitia dewasa tolong hak tunda bahagia dunia akhirat bahagia tunda hak orang,21.428571428571427,1
ku komentar ramai bahas dewasa nyata bbh,0.0,0
informasi valid sih minimal kasih klarifikasi,16.666666666666668,1
dewasa bbh,50.0,1
minimal cair bbh,0.0,0
dewasain tim biar kerja bener nungguin bbh cair,12.5,1
mahasiswa jengkel dengar alas masuk akal lpdp tanggung kait cair bbh,-18.181818181818183,-1
kpk tolong program usut tuntas perihal cair bbh sangkut alas bbh cair tunda bener perintah khusus tanggung cair lpdp,5.2631578947368425,1
yuk viralin ahh wkwkw,0.0,0
hahaha tertawa adminnya dewasa takut dewasa,0.0,0
omong kosong,50.0,1
cairin bbh msib batch ngepost ginian,0.0,0
kpk,0.0,0
dewasa mudah ajar nikmat indah asekkk,66.66666666666667,1
dapet kabar belah,-33.333333333333336,-1
temanteman izin hasil diskusi kepala tim msib diskusi beliau proses cair dana chat wa beliau cerita detail alami tim msib izin simpul temanteman tahap proses cair bbh alur cair bbh unit urut kerja serial tim msib dokumen mhs kolek tim msib tim ppkm dokumen verifikasi ppkm laksana pusat kampus merdeka ppkm aju belmawa belmawa belmawa aju lpdp lpdp lpdp validasi catver belmawa belmawa ppkm catver proses spp surat perintah bayar lpdp spp proses bank salur bank bank salur mahasiswa kemarin temu cased mahasiswa terima beasiswa proses cair tahap catver lpdp kena mahasiswa terima beasiswa dokumen belmawa gelombang temu mahasiswa terima beasiswa alhasil catat verifikasi temanteman kena bala inti temanteman beliau proses cair dana lpdp minggu bbh cair,1.709401709401709,1
aduh,0.0,0
insitusi dewasa deh,33.333333333333336,1
kasih tau dewasa nih mental dewasa hancur gara sengsara msib bantu kunjung cair hidup kota orang cari ilmu magang harap bantu bbh nyata teman pinjol gadai barang juang hidup rantau biaya mobilisasi sendirikosmakan ongkos magang sndri uang pas pas an dewasa situ kali dewasa berfikir hidup mahasiswa gara mahasiswa berkas vakid ribu mahasiswa kena imbas adil pakbu,3.508771929824561,1
televisi d,0.0,0
mang ieu motor sayah shockbreaker na tos has rada sesah mun angkat damel leptop tos rada ngahiung duhh,0.0,0
rill preach dewasa dewasa hipokrit,20.0,1
selamat siang hormat mohon maaf tagging akun kolom komentar harap coba baca keluh kesah temanteman kait bantu biaya hidup mahasiswa msib an mahasiswa hak lambat janji harap kait selesai panitia msib harap awas selesai terimakasih moga perhati salam hormat msib batch,2.4390243902439024,1
iya,0.0,0
komitmen bijaksana ambil putus simpul panitia msib batch bocah,11.11111111111111,1
proses menu cair bbh situs update curiga awikwok kisanak,-11.11111111111111,-1
semangat bang magang we are in the same kondisi,11.11111111111111,1
aelah sok sok an kasih informasi materi dewasa mental kerja tim kampus merdeka dewasa upss tsunami fakta bbh woy,15.789473684210526,1
hehe minimal bukti nyata klarifikasi tindak kena bbh msib batch omong doang komitmen komitmen kosong mohon dengar lihat yaa msib ngomong tembok mending ngomong tembok sih ngomong manusia cosplay tembok wkwkwk sakitu weh ti pusat mah well ah,7.894736842105263,1
dewasa bayar utang,33.333333333333336,1
ilmu teori,0.0,0
poin komitmen bbh,33.333333333333336,1
ciri ciri dewasa amanah janji yauda bbh simpel brou,22.22222222222222,1
bbh lari,0.0,0
reminder mei bisaa mei minimal termin selesai uang negara susah proses berfikir pakai uang pinjol biaya hidup uang negara timbang msib semester kabar anak msib gantung bbh cair,-3.571428571428572,-1
positif thinking uang pakai heeheheh,20.0,1
ngekritik takut tukang bakso awowkwowkwkw,-20.0,-1
dewasa jaga komitmen yah brati tim msib dewasa xixixi komit,20.0,1
awwww,0.0,0
bbh telat bayar janji manis meeting bilang minggu cair nyata minggu caiir kpk ri mohon tindak,12.5,1
ciriciri utama dewasa mental tunai wajib bekal alam pimpin selenggara program milik integritas disiplin tanggung amanah pimpin selenggara program senantiasa derita orang milik berani salah maaf salah tindak tanggung tindak,-6.666666666666667,-1
takut dewasa,0.0,0
dikamyuu,0.0,0
ri tolong cair bbh evaluasi anak non mobilisasi janji mei cair skrang cair d cek langsung keluh anak msib kolom komentar postingan,4.545454545454546,1
sumpah bbh cair hukum agama loh makan hak orang duit tip ortu tanyain teman ngekos ditangghin kos bayar kemanusiaa tolong capek ngedumel mending batch sedih banget nungguin,0.0,0
magang bbh febapril cair harap dengar baca sekian,0.0,0
halo suara suara temen temen masuk kena cair bantu biaya hidup harap moga teks baca admin izin hak kerja hitung mohon tim msib tolong cair bbh lihat tanggal mei hitung masuk magang msib bbh febapril cair alas sptjm temen temen valid sptjm temen temen valid diberitahukan diberitahukan terima magang february alas msib bbh undur cair mohon informasi mohon maaf temen temen magang daerah bayar uang kos uang makan uang transportasi uang mitra projek lingkup lingkung kantor biaya kerja akibat kendala uang transportasi kantor bbh cair mohon tim jajar program msib mohon baca keluh kerja daerah masingmasing daerah sekian terimakasih selamat malam salam hangat god bless all,2.830188679245283,1
televisi kpk tolong cek pakbu,0.0,0
butuh bbh i,0.0,0
bbh cair emang viralin si,0.0,0
televisi kpk,0.0,0
dewasa nungguin hak uji uji tolong ganti panitia ajar dewasa,20.0,1
amanah mental dewasa si hehe yuk war coldplay nih komennya baca habis kuota yah,7.142857142857143,1
konten buru buru eyd meleset,-20.0,-1
weh admin kerja posting acuh cuek kolom komentar suruh baca tuh keluh sakit bingung mu mahasiswa magang upah bayar program kerja magang jalan sebentar program magang ri panitia tanggung program dzolim kacau,-6.25,-1
heii bu tuh tua sadar hak upah kerja magang mahasiswa lelet lot lambat allah moga tahan tunda ulur laku upaya tindak upah penuh mahasiswa magang moga allah ikan sakit pilekbatuksariawandemam taubat sadar laku bentuk kedzaliman kpk,0.0,0
dewasa tolong bbh msib batch jalan woi turun,12.5,1
informasi,0.0,0
point gugur tim msib yaa,-20.0,-1
mantap bang,0.0,0
lihat petinggi msib poin ciri orang mental dewasa jaga komitmen lhaa petinggi msib dewasa ngomong ngomong nungguin bbh keluh kesah adminnya adminnya tuh urus bbh keluh mentok baca adminnya urus bbh ngomong magang posisi social media specialist usaha saran cari petinggi msib cari urus bbh tag orang keluh cari keluargasodaraorang ngurus bbh tag teror serang ribu orang gerak komen lebar beli bakso abang mondar mandir rumah,-1.5151515151515151,-1
musuh sih maunyaa sih yah trakhir kayak bilang cairin cairin dicairin arti tau derita mahasiswa program jalan,-11.764705882352942,-1
cakap si mimin,33.333333333333336,1
arti masuk orang dewasa tunggu cair bbh termin,12.5,1
pe bbh,0.0,0
komentar wakil komentar orang,-25.0,-1
lur tong kosong nyaring bunyi koar urus komitmen mah hahah,20.0,1
bener bangett,0.0,0
bbh msib cair uang wfh mentor bbh cair tolong bantu follow mahasiswa lilit pinjol tahan hidup rantau bbh kunjung cair tunai wajib kerja tolong tunai wajib panitia hak mahasiswa magang bbh msib coreng nama kes professional kelola program,2.631578947368421,1
batch ajar cari uang pinjol,0.0,0
dewasa laku oranglain orang laku mu kadang harga,12.5,1
dewasa jaga komitmen tanggung ngurus bbh orang dewasa anakanak main orang dewasa jaga komitmen tanggung bbh,12.5,1
arti panitia msib dewasa jaga komitmen jangka sulit terima kritikpunya sosial media arah terima dm servis help center kirim pesan template sulit prioritas magang bbhnya mulu,15.384615384615383,1
birokrasi program ribet,0.0,0
point gugur panitia msib,-25.0,-1
dewasa janji laku adil cair bbh kasihan mahasiswa tunggu hak terima,36.36363636363637,1
ajar mental program bikin orang sakit mental bbh,-12.5,-1
bbh woy bbh cair nih kota orang makan,0.0,0
bbh,0.0,0
kpk,0.0,0
magang bom bayar nih janji keribetan status rejected sptjm biar bbh cair batch batch cair batch fine fine cair usut panitia msib mohon,0.0,0
bbh,0.0,0
tamvan berani bang,33.333333333333336,1
bbh cair,0.0,0
bbh cair diem diem ajaaa,0.0,0
bbh minggu,0.0,0
bener banget huwaaa yaaa,0.0,0
ajar dewasa mah dewasa banget bikin msib batch rantau uang makan mie makan pakai kecap rela jalan hemat ongkos sua bbh msib batch caircair bayang anakanak mobilisasi kasih duluan mobilisasi mandiri ngebeban perintah giniin jarak cair an sungguh adill sih ketua msib batch ganti msib batch ketua omong kosong,12.244897959183673,1
minimal bbh cair deh,0.0,0
hai kembaliii kamerin nitip jejak alhamdulillah lolos ka pus university didik indonesia,0.0,0
kejar mimpi pmm,0.0,0
mohon informasi surat legal sptjm,0.0,0
moga lolos allah,0.0,0
tutup,0.0,0
moga,0.0,0
moga lewataminn,0.0,0
semangat yaa gaesss,33.333333333333336,1
plissss kakkk lagiiii,0.0,0
bikin tugas skripsi gampang langsung jokiin tugas bilik joki,11.11111111111111,1
pupus harap ku,0.0,0
bismillahirrahmanirrahimm,0.0,0
marr aamiin allah,0.0,0
pmm,0.0,0
mohon,0.0,0
nitip soalny kampus ado acara ssah nn tanda tangan ny,10.0,1
bang,0.0,0
aaku gituin bintang pilih ilangin,0.0,0
pleaseee papua tok,0.0,0
lolos pmm universitas mataram,0.0,0
semangatt,0.0,0
moga lolos amin,0.0,0
m,0.0,0
pmm terima yaaa,33.333333333333336,1
akuuuu,0.0,0
besok tutup langsung lolos berkas langsunh tahap,0.0,0
mohon,0.0,0
tolong pliss,0.0,0
aamin cepat,50.0,1
allahuma sholli ala sayyidina muhammad,0.0,0
pilih ptnya nyiapin berkas pilih suket sehat,14.285714285714286,1
udayana plisss lolos,0.0,0
moga lolos pmm,0.0,0
smngat temen temen semuaa yangg daftar,0.0,0
moga lolos amin,0.0,0
lolos amin,0.0,0
lolos aminnn,0.0,0
nitip,0.0,0
oh iyaa mkasi yah,0.0,0
nitip,0.0,0
izin semester program kampus ajar angkat daftar pmm,0.0,0
biidznillah,0.0,0
jam berapaa yaa tutup besok,-20.0,-1
nitipp,0.0,0
in the nama of the jesus moga lulus bangat pmm in,0.0,0
bissmillah kali lulus,0.0,0
bismillahsemoga lolos pmm,0.0,0
allahuma salliala muhammad waala ali muhammad,0.0,0
kunci data nihhhh hihi moga luluss,0.0,0
si,0.0,0
kayak,0.0,0
marr aamiin allahumma aamiin,0.0,0
semangat,100.0,1
minn,0.0,0
mohon,0.0,0
semangat,100.0,1
spam kemarin kunci data email konfirmasi,0.0,0
pilih pt terima dikitt buangett tuh,16.666666666666668,1
mohon,0.0,0
goodluck pmm jamin move on,0.0,0
kause coba buka pas subuh,0.0,0
jam tutup pmm,-33.333333333333336,-1
pilih papua xixi,0.0,0
yah,0.0,0
serius lock,-50.0,-1
keterimaa,0.0,0
surbin nih,0.0,0
ulang matkul,-50.0,-1
pt temu ketik hasil daftar pddikti,0.0,0
jumpa banjarmasin,0.0,0
lanjur lock konfirmasi email,0.0,0
iya minnn its true,0.0,0
nitiippp,0.0,0
mohon ngurus berkas kampus libur,0.0,0
gas mataram,0.0,0
iya email cthnya konfirmasi dilu,0.0,0
mudah mudah lolos seleksi berkas,20.0,1
izin data profil brarti konfirmasi,0.0,0
jam pnutupannya,-50.0,-1
situs penutupamnya tanggal,0.0,0
coba pilih wajib lock dikosongin,-20.0,-1
izin tuhan moga lolos,0.0,0
yuukk teman daftar,0.0,0
pmm lolos,0.0,0
